Title,Description,Status,Priority,Labels,Project,Parent
[Epic] ENT-1: Entities & People management,"Core entity and people module with RBAC integration",Todo,High,epic;phase1,Client Portal,
TCK-1.1: Prisma migration â€” entities/registrations/economic_zones,"Add tables + indexes; generate Prisma client; seed zones for UAE/KSA/EGY",In Progress,High,backend;db;phase1,Client Portal,ENT-1
TCK-1.2: Services layer for entities CRUD,"Create src/services/entities with validation; unit tests",Todo,High,backend;service;phase1,Client Portal,ENT-1
TCK-1.3: Admin UI for entities & people,"Admin pages with guards; list/create/edit; reuse tables",Todo,Medium,frontend;admin;phase1,Client Portal,ENT-1
TCK-1.4: Invitations & 2FA,"Invite flow, email templates, 2FA toggles in UserProfile",Todo,High,auth;security;phase1,Client Portal,ENT-1
TCK-1.5: CSV bulk import,"CSV upload + validate + background job + notifications",Todo,Medium,import;jobs;phase1,Client Portal,ENT-1
[Epic] ENT-1.1: Business Setup Wizard,"Modal wizard with tabs Existing/New/Individual; consent and idempotency",Todo,High,epic;wizard;phase1.1,Client Portal,
[Epic] ENT-1.2: Business Verification,"Async verification job + pending/success/error screens",Todo,High,epic;jobs;phase1.1B,Client Portal,
[Epic] DASH-2: Unified Dashboard,"Mobile/desktop widgets parity; global search",Todo,High,epic;dashboard;phase2,Client Portal,
[Epic] COMP-2.1: Upcoming Compliances,"Rules engine + list/detail + reminders",Todo,High,epic;compliance;phase2.1,Client Portal,
